ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.35,77,27,23,25,2,9.325658,11.130043,1.8050426,0.18805,0.59554,0.17472,124.179,0.036,3.89,0.608,200985903104
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.86,72,22,23,25,2,12.280788,9.498482,2.012919,0.17069,0.59071,0.124280006,174.78,0.02,5.7,0.316,210293735424
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,310.9,70,8,30,17,15,28.760405,23.180285,9.050156,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.086,3760957423616
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,🚀 成长股 | 💰 价值股,494.51,68,25,11,17,15,15.809143,20.527325,0.0010190319,0.1017,0.24361,0.18129,18.166,0.021,,0.702,1066823647232
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,246.28,67,8,28,21,10,22.30797,19.636156,7.2724047,0.35029998,0.68081003,0.28456,60.499,0.091,2.12,0.347,593509941248
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,639.3,65,8,30,17,10,27.192682,17.857044,7.4452353,0.30238,0.81999,0.30084,39.164,0.238,0.33,1.284,1617144709120
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,389.0,65,8,30,17,10,24.327705,20.637053,7.3933287,0.34390998,0.68586,0.39044,31.539,0.167,0.95,1.084,2891195088896
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,165.28,65,8,26,21,10,24.449703,22.546339,7.348064,0.31562,0.51189,0.19299999,68.719,0.015,2.56,0.38,386215313408
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,114.58,60,6,18,21,15,30.801075,18.351416,3.8170433,0.12961,0.56664,0.14718,26.787,0.044,2.19,0.751,199421788160
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,208.56,58,8,25,15,10,29.128492,22.440453,5.4445777,0.22286,0.50286,0.108339995,43.435,0.136,,1.385,2238874910720
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,273.95,58,15,13,25,5,20.69109,13.679786,2.4907038,0.12538,0.18526,0.02694,77.08,0.123,3.13,0.415,248154488832
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,80.72,53,8,26,17,2,26.552631,23.308462,10.79433,0.43323,0.61626,0.2734,139.793,0.024,2.56,0.364,347225882624
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,272.14,52,3,27,17,5,34.404552,29.26498,45.37179,1.5202099,0.47325,0.27037,102.63,0.157,0.39,1.107,3999893815296
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,126.75,45,0,18,17,10,46.42857,38.547512,10.142434,0.21847,0.24927,0.0307,63.19,0.056,0.79,0.671,1010558894080
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,297.3,42,22,13,0,7,14.842734,12.6552,2.341166,0.16134001,0.0,0.3391,,0.025,2.02,1.053,801827717120
