ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.67,77,27,23,25,2,9.430922,11.255673,1.825417,0.18805,0.59554,0.17472,124.179,0.036,3.96,0.576,203254513664
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.87,72,22,23,25,2,12.529556,9.690889,2.053694,0.17069,0.59071,0.124280006,174.78,0.02,5.66,0.281,214553591808
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,303.58,70,8,30,17,15,28.0573,22.632776,8.837073,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3672407277568
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,246.75,67,8,28,21,10,22.350544,19.654825,7.2862835,0.35029998,0.68081003,0.28456,60.499,0.091,2.09,0.326,594642599936
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,159.72,65,8,26,21,10,23.662222,21.787884,7.100876,0.31562,0.51189,0.19299999,68.719,0.015,2.59,0.34,373223063552
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,655.08,65,8,30,17,10,27.923275,18.257524,7.6290083,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1657061244928
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,403.93,65,8,30,17,10,25.277222,21.437473,7.677088,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.108,3002160381952
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,481.36,63,25,6,17,15,15.398592,20.042234,0.0009653012,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1038454620160
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,113.61,60,6,18,21,15,30.540323,18.196058,3.7847292,0.12961,0.56664,0.14718,26.787,0.044,2.21,0.744,197418156032
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,208.73,58,8,25,15,10,29.111574,22.35826,5.4490156,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2240699957248
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,289.21,58,15,13,25,5,21.843655,14.441797,2.7842386,0.12538,0.18526,0.02694,81.618,0.123,3.0,0.38,261977571328
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,79.34,53,8,26,17,2,26.098682,22.894112,10.609788,0.43323,0.61626,0.2734,139.793,0.024,2.57,0.332,341289631744
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,263.75,52,3,27,17,5,33.42839,28.31707,43.97299,1.5202099,0.47325,0.27037,102.63,0.157,0.39,1.116,3876577869824
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,127.91,45,0,18,17,10,46.85348,38.862946,10.235257,0.21847,0.24927,0.0307,63.19,0.056,0.78,0.657,1019807399936
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,300.26,42,22,13,0,7,14.990514,12.781199,2.3644755,0.16134001,0.0,0.3391,,0.025,2.02,1.059,809810984960
