ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.33,77,27,23,25,2,9.319079,11.132987,1.8037692,0.18805,0.59554,0.17472,124.179,0.036,3.92,0.576,198326353920
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.4,72,22,23,25,2,12.167488,9.401053,1.994348,0.17069,0.59071,0.124280006,174.78,0.02,5.73,0.281,208353607680
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,295.77,70,8,30,17,15,27.38611,22.023607,8.609728,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3577929793536
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,574.46,69,8,30,21,10,24.42432,15.972401,6.6901145,0.30238,0.81999,0.30084,39.164,0.238,0.36,1.279,1453128548352
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,243.04,67,8,28,21,10,22.03445,19.327713,7.1767306,0.35029998,0.68081003,0.28456,60.499,0.091,2.13,0.326,585701851136
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,373.46,65,8,30,17,10,23.355846,19.81789,7.0979753,0.34390998,0.68586,0.39044,31.539,0.167,0.99,1.108,2775695753216
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,102.87,65,11,18,21,15,27.653227,16.852884,3.426944,0.12961,0.56664,0.14718,26.787,0.044,2.46,0.744,178755452928
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,143.12,65,8,26,21,10,21.23442,19.555733,6.3628683,0.31562,0.51189,0.19299999,68.719,0.015,2.93,0.34,334970257408
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,477.35,63,25,6,17,15,15.373591,21.922483,0.00095725973,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1029582356480
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,209.77,58,8,25,15,10,29.21588,22.334967,5.476166,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2251864408064
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,277.26,58,15,13,25,5,20.956917,13.843688,2.6691954,0.12538,0.18526,0.02694,81.618,0.123,3.23,0.38,251662204928
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,76.72,53,8,26,17,2,25.236843,22.185274,10.259428,0.43323,0.61626,0.2734,139.793,0.024,2.71,0.332,330214637568
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,255.92,52,3,27,17,5,32.394936,27.4732,42.667553,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3761492983808
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,125.79,45,0,18,17,10,46.076923,38.295387,10.062395,0.21847,0.24927,0.0307,64.443,0.056,0.79,0.657,1002848518144
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,294.6,42,22,13,0,7,14.707938,12.63386,2.3199043,0.16134001,0.0,0.3391,,0.025,2.03,1.059,794545750016
