ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.81,77,27,23,25,2,9.476974,11.320636,1.8343308,0.18805,0.59554,0.17472,124.179,0.036,3.84,0.576,204247040000
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.37,72,22,23,25,2,12.406404,9.5698595,2.0335083,0.17069,0.59071,0.124280006,174.78,0.02,5.56,0.281,212444758016
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,290.93,70,8,30,17,15,26.937962,21.676302,8.468838,0.35705003,0.59652,0.32810003,16.133,0.18,0.29,1.112,3519380193280
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,594.89,69,8,30,21,10,25.336031,16.579988,6.9280405,0.30238,0.81999,0.30084,39.164,0.238,0.35,1.279,1504807223296
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,239.93,67,8,28,21,10,21.752493,19.077265,7.084895,0.35029998,0.68081003,0.28456,60.499,0.091,2.21,0.326,578207023104
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,371.04,65,8,30,17,10,23.204504,19.683308,7.0519814,0.34390998,0.68586,0.39044,31.539,0.167,0.98,1.108,2757709529088
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,104.83,65,11,18,21,15,28.256065,16.826267,3.492238,0.12961,0.56664,0.14718,26.787,0.044,2.42,0.744,182161309696
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,143.92,65,8,26,21,10,21.28994,19.632559,6.398435,0.31562,0.51189,0.19299999,68.719,0.015,2.95,0.34,336842653696
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,476.19,63,25,6,17,15,15.331295,21.86921,0.0009549335,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1027080388608
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,211.71,58,8,25,15,10,29.527197,22.62362,5.5268106,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2272690176000
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,270.55,58,15,13,25,5,20.449736,13.5704155,2.6045978,0.12538,0.18526,0.02694,81.618,0.123,3.25,0.38,245571682304
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,75.25,53,8,26,17,2,24.75329,21.738628,10.062851,0.43323,0.61626,0.2734,139.793,0.024,2.76,0.332,323887529984
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,252.62,52,3,27,17,5,31.977215,27.118912,42.11737,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3712989790208
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,123.06,45,0,18,17,10,45.076923,37.4702,9.844012,0.21847,0.24927,0.0307,64.443,0.056,0.81,0.657,981083881472
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,295.42,42,22,13,0,7,14.748877,12.575174,2.3263617,0.16134001,0.0,0.3391,,0.025,2.05,1.059,796757393408
