ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.01,77,27,23,25,2,9.213816,10.996561,1.7833948,0.18805,0.59554,0.17472,124.179,0.036,3.96,0.608,198575489024
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.98,72,22,23,25,2,12.310345,9.521342,2.0177634,0.17069,0.59071,0.124280006,174.78,0.02,5.64,0.316,210799853568
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,306.52,70,8,30,17,15,28.32902,22.851961,8.922655,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.086,3707972354048
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,248.56,67,8,28,21,10,22.534904,19.811623,7.3397307,0.35029998,0.68081003,0.28456,60.499,0.091,2.09,0.347,599004479488
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,163.51,65,8,26,21,10,24.223703,22.304888,7.2693725,0.31562,0.51189,0.19299999,68.719,0.015,2.53,0.38,382692753408
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,653.56,65,8,30,17,10,27.858484,18.21516,7.611306,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.284,1653216247808
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,398.55,65,8,30,17,10,24.94055,21.151943,7.574836,0.34390998,0.68586,0.39044,31.539,0.167,0.93,1.084,2962173984768
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,480.17,63,25,6,17,15,15.360525,19.932064,0.00096291484,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1035887443968
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,114.12,60,6,18,21,15,30.67742,18.277742,3.8017192,0.12961,0.56664,0.14718,26.787,0.044,2.17,0.751,198621184000
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,208.39,58,8,25,15,10,29.10475,22.32184,5.44014,0.22286,0.50286,0.108339995,43.435,0.136,,1.385,2237050126336
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,294.93,58,15,13,25,5,22.292517,14.7274275,2.68145,0.12538,0.18526,0.02694,77.08,0.123,3.01,0.415,267158962176
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,80.22,53,8,26,17,2,26.388159,23.148043,10.727468,0.43323,0.61626,0.2734,139.793,0.024,2.53,0.364,345075089408
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,264.72,52,3,27,17,5,33.50886,28.450964,44.134712,1.5202099,0.47325,0.27037,102.63,0.157,0.39,1.107,3890834833408
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,127.1,45,0,18,17,10,46.556774,38.61684,10.170441,0.21847,0.24927,0.0307,63.19,0.056,0.77,0.671,1013349351424
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,297.56,42,22,13,0,7,14.855716,12.666267,2.3432136,0.16134001,0.0,0.3391,,0.025,2.0,1.053,802528952320
