ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.98,77,27,23,25,2,9.532895,11.3773775,1.8451546,0.18805,0.59554,0.17472,124.179,0.036,3.87,0.576,205452247040
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,51.2,72,22,23,25,2,12.610838,9.753756,2.0670166,0.17069,0.59071,0.124280006,174.78,0.02,5.56,0.281,215945428992
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,303.13,70,8,30,17,15,28.041628,22.599228,8.823975,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3666963857408
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,245.3,67,8,28,21,10,22.239347,19.539326,7.2434664,0.35029998,0.68081003,0.28456,60.499,0.091,2.11,0.326,591148220416
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,158.3,65,8,26,21,10,23.41716,21.594177,7.037745,0.31562,0.51189,0.19299999,68.719,0.015,2.65,0.34,370498830336
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,667.73,65,8,30,17,10,28.38988,18.610088,7.7763286,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1689059983360
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,405.2,65,8,30,17,10,25.325,21.504875,7.7012258,0.34390998,0.68586,0.39044,31.539,0.167,0.9,1.108,3011599663104
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,487.48,63,25,6,17,15,15.579418,20.297052,0.000977574,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1051657568256
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,113.1,60,6,18,21,15,30.403225,18.114374,3.7677393,0.12961,0.56664,0.14718,26.787,0.044,2.22,0.744,196531945472
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,291.96,58,15,13,25,5,22.084719,14.57912,2.8107128,0.12538,0.18526,0.02694,81.618,0.123,3.06,0.38,264468627456
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,216.82,53,3,25,15,10,30.197773,23.224825,5.66021,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2327545643008
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,78.1,53,8,26,17,2,25.69079,22.536495,10.443969,0.43323,0.61626,0.2734,139.793,0.024,2.6,0.332,335955656704
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,262.52,52,3,27,17,5,33.18837,28.185013,43.76792,1.5202099,0.47325,0.27037,102.63,0.157,0.39,1.116,3858499371008
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,127.81,45,0,18,17,10,46.988968,38.83256,10.227255,0.21847,0.24927,0.0307,63.19,0.056,0.77,0.657,1019010088960
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,299.39,42,22,13,0,7,14.94708,12.744166,2.3576245,0.16134001,0.0,0.3391,,0.025,2.0,1.059,807464599552
