ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.78,77,27,23,25,2,9.467106,11.308848,1.8324207,0.18805,0.59554,0.17472,124.179,0.036,3.81,0.576,201476603904
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.3,72,22,23,25,2,12.389163,9.5565605,2.0306823,0.17069,0.59071,0.124280006,174.78,0.02,5.63,0.281,212149518336
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,273.5,70,8,30,17,15,25.300646,20.36763,7.9614587,0.35705003,0.59652,0.32810003,16.133,0.18,0.31,1.112,3308529647616
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,536.38,69,8,30,21,10,22.82468,14.949275,6.2466373,0.30238,0.81999,0.30084,39.164,0.238,0.4,1.279,1356802949120
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,242.49,67,8,28,21,10,21.964674,19.280817,7.16049,0.35029998,0.68081003,0.28456,60.499,0.091,2.16,0.326,584376451072
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,261.79,65,22,13,25,5,19.77266,13.131027,2.520265,0.12538,0.18526,0.02694,81.618,0.123,3.41,0.38,237620461568
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,358.96,65,8,30,17,10,22.46308,19.042475,6.8223886,0.34390998,0.68586,0.39044,31.539,0.167,1.02,1.108,2667926257664
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,101.88,65,11,18,21,15,27.387096,16.660671,3.3939636,0.12961,0.56664,0.14718,26.787,0.044,2.42,0.744,177035132928
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,144.72,65,8,26,21,10,21.44,19.753788,6.434002,0.31562,0.51189,0.19299999,68.719,0.015,2.96,0.34,338715049984
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,474.66,63,25,6,17,15,15.282035,21.798943,0.0009518653,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1023780323328
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,200.95,58,8,25,15,10,27.987465,21.395868,5.2459145,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2157182320640
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,76.27,53,8,26,17,2,25.088816,22.03851,10.19925,0.43323,0.61626,0.2734,139.793,0.024,2.72,0.332,328277753856
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,246.63,52,3,27,17,5,31.179522,26.475912,41.118706,1.5202099,0.47325,0.27037,102.63,0.157,0.42,1.116,3624949514240
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,123.5,45,0,18,17,10,45.238094,37.60417,9.8792095,0.21847,0.24927,0.0307,64.443,0.056,0.81,0.657,984591761408
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,283.77,42,22,13,0,7,14.167248,12.1662035,2.2346206,0.16134001,0.0,0.3391,,0.025,2.12,1.059,765336879104
