ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.74,77,27,23,25,2,9.125,10.885219,1.766204,0.18805,0.59554,0.17472,124.179,0.036,4.05,0.576,196661329920
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.48,72,22,23,25,2,12.187192,9.404502,1.9975777,0.17069,0.59071,0.124280006,174.78,0.02,5.71,0.281,208691019776
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,307.13,70,8,30,17,15,28.437963,22.883314,8.9404125,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3715351707648
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,606.7,69,8,30,21,10,25.795069,16.909142,7.0655785,0.30238,0.81999,0.30084,39.164,0.238,0.34,1.279,1534681284608
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,237.6,67,8,28,21,10,21.541252,18.892004,7.0160933,0.35029998,0.68081003,0.28456,60.499,0.091,2.19,0.326,572592029696
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,389.02,65,8,30,17,10,24.328955,20.644226,7.3937087,0.34390998,0.68586,0.39044,31.539,0.167,0.93,1.108,2891343462400
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,107.19,65,11,18,21,15,28.814516,17.175463,3.5708575,0.12961,0.56664,0.14718,26.787,0.044,2.32,0.744,186262241280
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,144.84,65,8,26,21,10,21.457777,19.758059,6.4393363,0.31562,0.51189,0.19299999,68.719,0.015,2.88,0.34,338995904512
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,481.48,63,25,6,17,15,15.506603,22.112154,0.00096554187,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1038713552896
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,208.76,58,8,25,15,10,29.075209,22.34675,5.449799,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2241021870080
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,280.44,58,15,13,25,5,21.213312,14.0836935,2.6998093,0.12538,0.18526,0.02694,81.618,0.123,3.11,0.38,254548606976
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,75.55,53,8,26,17,2,24.851974,21.797966,10.102969,0.43323,0.61626,0.2734,139.793,0.024,2.71,0.332,324986568704
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,248.96,52,3,27,17,5,31.513924,26.709324,41.507168,1.5202099,0.47325,0.27037,102.63,0.157,0.42,1.116,3659195744256
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,121.09,45,0,18,17,10,44.35531,36.870358,9.686424,0.21847,0.24927,0.0307,64.443,0.056,0.81,0.657,965378244608
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,287.97,42,22,13,0,7,14.376934,12.258049,2.2676947,0.16134001,0.0,0.3391,,0.025,2.09,1.059,776664449024
