ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.01,77,27,23,25,2,9.213816,10.996561,1.7833948,0.18805,0.59554,0.17472,124.179,0.036,4.04,0.608,198575489024
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.14,72,22,23,25,2,12.349753,9.551823,2.0242229,0.17069,0.59071,0.124280006,174.78,0.02,5.79,0.316,211474677760
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,311.76,70,8,30,17,15,28.81331,23.236176,9.07519,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.086,3771360870400
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,🚀 成长股 | 💰 价值股,504.95,68,25,11,17,15,16.148066,20.960693,0.0010405454,0.1017,0.24361,0.18129,18.166,0.021,,0.702,1089346207744
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,248.43,67,8,28,21,10,22.523119,19.807577,7.3358917,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.347,598691217408
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,648.18,65,8,30,17,10,27.558672,18.065216,7.548651,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.284,1639607173120
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,392.74,65,8,30,17,10,24.561602,20.835466,7.464411,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.084,2918992052224
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,167.2,65,8,26,21,10,24.77037,22.808252,7.4334235,0.31562,0.51189,0.19299999,68.719,0.015,2.58,0.38,391329153024
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,116.35,60,6,18,21,15,31.27688,18.634903,3.8760078,0.12961,0.56664,0.14718,26.787,0.044,2.2,0.751,202502406144
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,210.0,58,8,25,15,10,29.288702,22.488394,5.48217,0.22286,0.50286,0.108339995,43.435,0.136,,1.385,2254333280256
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,293.27,58,15,13,25,5,22.150301,14.644535,2.6663575,0.12538,0.18526,0.02694,77.08,0.123,3.08,0.415,265655271424
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,81.56,53,8,26,17,2,26.828947,23.551018,10.906659,0.43323,0.61626,0.2734,139.793,0.024,2.56,0.364,350839209984
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,264.18,52,3,27,17,5,33.48289,28.408987,44.044678,1.5202099,0.47325,0.27037,102.63,0.157,0.38,1.107,3882897899520
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,127.95,45,0,18,17,10,47.04044,38.875095,10.238457,0.21847,0.24927,0.0307,63.19,0.056,0.8,0.671,1020126298112
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,300.3,42,22,13,0,7,14.999999,12.782901,2.3647902,0.16134001,0.0,0.3391,,0.025,1.96,1.053,809918791680
