ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.31,77,27,23,25,2,9.3125,11.125128,1.8024958,0.18805,0.59554,0.17472,124.179,0.036,3.83,0.576,198186336256
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.39,72,22,23,25,2,12.165025,9.39915,1.9939442,0.17069,0.59071,0.124280006,174.78,0.02,5.64,0.281,208311418880
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,297.39,70,8,30,17,15,27.51064,22.14516,8.656886,0.35705003,0.59652,0.32810003,16.133,0.18,0.29,1.112,3597527154688
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,579.23,69,8,30,21,10,24.6376,16.143534,6.7456646,0.30238,0.81999,0.30084,39.164,0.238,0.37,1.279,1465194381312
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,244.12,67,8,28,21,10,22.152449,19.422867,7.208622,0.35029998,0.68081003,0.28456,60.499,0.091,2.13,0.326,588304547840
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,369.37,65,8,30,17,10,23.100063,19.594715,7.0202413,0.34390998,0.68586,0.39044,31.539,0.167,0.98,1.108,2745297272832
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,102.38,65,11,18,21,15,27.521505,16.772608,3.4106202,0.12961,0.56664,0.14718,26.787,0.044,2.45,0.744,177903976448
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,144.09,65,8,26,21,10,21.346666,19.688272,6.405993,0.31562,0.51189,0.19299999,68.719,0.015,2.93,0.34,337240522752
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,478.5,63,25,6,17,15,15.410628,21.975296,0.00095956586,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1032062763008
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,210.57,58,8,25,15,10,29.40922,22.420145,5.4970503,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2260452245504
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,273.98,58,15,13,25,5,20.708996,13.679916,2.6376188,0.12538,0.18526,0.02694,81.618,0.123,3.27,0.38,248685035520
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,76.08,53,8,26,17,2,25.026318,22.000204,10.173843,0.43323,0.61626,0.2734,139.793,0.024,2.71,0.332,327459962880
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,255.63,52,3,27,17,5,32.399242,27.442068,42.619205,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3757230784512
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,124.74,45,0,18,17,10,45.692307,37.981735,9.978401,0.21847,0.24927,0.0307,64.443,0.056,0.8,0.657,994477473792
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,295.38,42,22,13,0,7,14.74688,12.66731,2.3260467,0.16134001,0.0,0.3391,,0.025,2.04,1.059,796649455616
