ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.31,77,27,23,25,2,9.3125,11.108888,1.8024958,0.18805,0.59554,0.17472,124.179,0.036,4.0,0.576,200702312448
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.98,72,22,23,25,2,12.310345,9.499047,2.0177634,0.17069,0.59071,0.124280006,174.78,0.02,5.72,0.281,210799853568
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,301.0,70,8,30,17,15,27.844587,22.426586,8.761971,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3641197199360
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,593.66,69,8,30,21,10,25.283646,16.545706,6.9137154,0.30238,0.81999,0.30084,39.164,0.238,0.35,1.279,1501695836160
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,235.37,67,8,28,21,10,21.358438,18.714691,6.950243,0.35029998,0.68081003,0.28456,60.499,0.091,2.19,0.326,567217946624
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,381.87,65,8,30,17,10,23.881802,20.264795,7.257816,0.34390998,0.68586,0.39044,31.539,0.167,0.94,1.108,2838202155008
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,105.46,65,11,18,21,15,28.349463,16.898258,3.5132253,0.12961,0.56664,0.14718,26.787,0.044,2.35,0.744,183256039424
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,144.28,65,8,26,21,10,21.374815,19.681667,6.41444,0.31562,0.51189,0.19299999,68.719,0.015,2.92,0.34,337685217280
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,480.94,63,25,6,17,15,15.484224,22.087355,0.000964459,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1037548584960
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,205.37,58,8,25,15,10,28.68296,21.974106,5.361301,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2204630515712
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,275.59,58,15,13,25,5,20.814955,13.840127,2.6531181,0.12538,0.18526,0.02694,81.618,0.123,3.15,0.38,250146373632
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,74.75,53,8,26,17,2,24.588816,21.567146,9.995988,0.43323,0.61626,0.2734,139.793,0.024,2.73,0.332,321545273344
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,247.99,52,3,27,17,5,31.430927,26.605259,41.345448,1.5202099,0.47325,0.27037,102.63,0.157,0.42,1.116,3644938780672
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,119.02,45,0,18,17,10,43.75735,36.24007,9.520838,0.21847,0.24927,0.0307,64.443,0.056,0.82,0.657,948875362304
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,286.56,42,22,13,0,7,14.320839,12.1980295,2.256591,0.16134001,0.0,0.3391,,0.025,2.08,1.059,772861591552
