ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.97,77,27,23,25,2,9.529605,11.373451,1.844518,0.18805,0.59554,0.17472,124.179,0.036,3.83,0.576,205381353472
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,51.18,72,22,23,25,2,12.605911,9.749946,2.066209,0.17069,0.59071,0.124280006,174.78,0.02,5.53,0.281,215861084160
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,300.88,70,8,30,17,15,27.807764,22.431484,8.758478,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3639745445888
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,239.63,67,8,28,21,10,21.705616,19.082195,7.076037,0.35029998,0.68081003,0.28456,60.499,0.091,2.12,0.326,577484095488
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,111.04,65,11,18,21,15,29.849463,17.784441,3.6991138,0.12961,0.56664,0.14718,26.787,0.044,2.23,0.744,192952320000
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,660.57,65,8,30,17,10,28.109362,18.410534,7.692944,0.30238,0.81999,0.30084,39.164,0.238,0.31,1.279,1670948454400
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,410.68,65,8,30,17,10,25.731829,21.79571,7.8053784,0.34390998,0.68586,0.39044,31.539,0.167,0.9,1.108,3052328976384
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,153.99,65,8,26,21,10,22.847183,21.006237,6.8461304,0.31562,0.51189,0.19299999,68.719,0.015,2.67,0.34,360411365376
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,500.4,63,25,6,17,15,15.987221,20.834997,0.0010034833,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1079530291200
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,288.77,58,15,13,25,5,21.826908,14.419826,2.7800026,0.12538,0.18526,0.02694,81.618,0.123,3.03,0.38,261578997760
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,218.94,53,3,25,15,10,30.493038,23.45191,5.7155538,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2350303674368
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.03,53,8,26,17,2,25.338816,22.227736,10.300882,0.43323,0.61626,0.2734,139.793,0.024,2.64,0.332,331352932352
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,260.29,52,3,27,17,5,32.9481,27.943462,43.396133,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3825723244544
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,123.31,45,0,18,17,10,45.003647,37.465324,9.867168,0.21847,0.24927,0.0307,63.19,0.056,0.77,0.657,983132274688
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,293.55,42,22,13,0,7,14.655516,12.495573,2.3116357,0.16134001,0.0,0.3391,,0.025,2.0,1.059,791713873920
