ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.87,77,27,23,25,2,9.496711,11.328722,1.8381511,0.18805,0.59554,0.17472,124.179,0.036,3.86,0.576,204672417792
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.91,72,22,23,25,2,12.539409,9.6758,2.0553088,0.17069,0.59071,0.124280006,174.78,0.02,5.6,0.281,214722297856
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,290.44,70,8,30,17,15,26.867714,21.639793,8.454575,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3513452855296
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,592.92,69,8,30,21,10,25.230639,16.525084,6.9050975,0.30238,0.81999,0.30084,39.164,0.238,0.35,1.279,1499823996928
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,235.27,67,8,28,21,10,21.310688,18.706741,6.9472904,0.35029998,0.68081003,0.28456,60.499,0.091,2.21,0.326,566976970752
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,372.74,65,8,30,17,10,23.340012,19.765795,7.084291,0.34390998,0.68586,0.39044,31.539,0.167,0.95,1.108,2770344345600
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,104.06,65,11,18,21,15,27.973118,16.689762,3.4665866,0.12961,0.56664,0.14718,26.787,0.044,2.4,0.744,180823277568
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,143.16,65,8,26,21,10,21.208889,19.528885,6.364647,0.31562,0.51189,0.19299999,68.719,0.015,2.94,0.34,335063908352
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,479.33,63,25,6,17,15,15.437359,22.013414,0.0009612303,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1033852878848
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,207.24,58,8,25,15,10,28.903767,22.171062,5.4101186,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2224704978944
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,272.28,58,15,13,25,5,20.5805,13.673899,2.6212525,0.12538,0.18526,0.02694,81.618,0.123,3.28,0.38,247141974016
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,74.67,53,8,26,17,2,24.5625,21.544064,9.98529,0.43323,0.61626,0.2734,139.793,0.024,2.74,0.332,321391099904
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,251.64,52,3,27,17,5,31.853165,27.013708,41.953983,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3698586025984
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,122.05,45,0,18,17,10,44.70696,37.162666,9.763219,0.21847,0.24927,0.0307,64.443,0.056,0.82,0.657,973031800832
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,292.4,42,22,13,0,7,14.598102,12.446621,2.3025796,0.16134001,0.0,0.3391,,0.025,2.07,1.059,788612251648
