ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.16,77,27,23,25,2,8.934211,10.652526,1.7292753,0.18805,0.59554,0.17472,124.179,0.036,4.01,0.576,192549453824
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.68,72,22,23,25,2,12.4827585,9.659681,2.0460234,0.17069,0.59071,0.124280006,174.78,0.02,5.58,0.281,213752233984
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,308.7,70,8,30,17,15,28.556892,23.017767,8.9861145,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3734344302592
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,242.99,67,8,28,21,10,22.009964,19.341133,7.1752543,0.35029998,0.68081003,0.28456,60.499,0.091,2.13,0.326,585581395968
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,110.25,65,11,18,21,15,29.71698,17.659695,3.6727962,0.12961,0.56664,0.14718,26.787,0.044,2.28,0.744,191579537408
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,654.86,65,8,30,17,10,27.89012,18.251392,7.626446,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1656504713216
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,404.88,65,8,30,17,10,25.320826,21.485874,7.6951437,0.34390998,0.68586,0.39044,31.539,0.167,0.9,1.108,3009221230592
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,153.32,65,8,26,21,10,22.680473,20.91484,6.8163433,0.31562,0.51189,0.19299999,68.719,0.015,2.71,0.34,358267977728
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,493.57,63,25,6,17,15,15.9062195,22.763414,0.0009897867,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1064795766784
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,212.65,58,8,25,15,10,29.616991,22.763155,5.5513496,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2282780884992
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,285.25,58,15,13,25,5,21.544561,14.256376,2.7461154,0.12538,0.18526,0.02694,81.618,0.123,3.13,0.38,258914533376
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.63,53,8,26,17,2,25.536184,22.400871,10.381118,0.43323,0.61626,0.2734,139.793,0.024,2.65,0.332,333933903872
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,260.81,52,3,27,17,5,33.013924,28.067324,43.482826,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3833366052864
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,123.49,45,0,18,17,10,45.234432,37.52001,9.881572,0.21847,0.24927,0.0307,63.19,0.056,0.79,0.657,984567382016
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,287.52,42,22,13,0,7,14.368814,12.2388935,2.2641509,0.16134001,0.0,0.3391,,0.025,2.08,1.059,775450722304
