ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.64,77,27,23,25,2,9.421053,11.253173,1.8235068,0.18805,0.59554,0.17472,124.179,0.036,3.83,0.576,203041832960
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,51.12,72,22,23,25,2,12.591133,9.750627,2.0637867,0.17069,0.59071,0.124280006,174.78,0.02,5.53,0.281,215608016896
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,298.52,70,8,30,17,15,27.64074,22.239109,8.689779,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3611196391424
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,240.4,67,8,28,21,10,21.81488,19.14351,7.098774,0.35029998,0.68081003,0.28456,60.499,0.091,2.17,0.326,579339681792
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,109.56,65,11,18,21,15,29.451612,17.5474,3.64981,0.12961,0.56664,0.14718,26.787,0.044,2.27,0.744,190380539904
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,644.86,65,8,30,17,10,27.417517,17.972685,7.5099864,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1631209127936
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,408.96,65,8,30,17,10,25.59199,21.704426,7.772688,0.34390998,0.68586,0.39044,31.539,0.167,0.89,1.108,3039545262080
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,153.63,65,8,26,21,10,22.79377,20.957129,6.8301253,0.31562,0.51189,0.19299999,68.719,0.015,2.75,0.34,359568769024
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,498.98,63,25,6,17,15,15.952046,20.775875,0.0010006357,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1076466941952
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,213.21,58,8,25,15,10,29.777935,22.846165,5.565969,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2288792633344
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,286.48,58,15,13,25,5,21.653818,14.305475,2.7579567,0.12538,0.18526,0.02694,81.618,0.123,3.06,0.38,259504652288
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.04,53,8,26,17,2,25.342106,22.230621,10.302219,0.43323,0.61626,0.2734,139.793,0.024,2.67,0.332,331395956736
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,257.46,52,3,27,17,5,32.54867,27.716951,42.924305,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3784127807488
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,123.8,45,0,18,17,10,45.347984,37.6142,9.906378,0.21847,0.24927,0.0307,63.19,0.056,0.8,0.657,987039006720
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,289.48,42,22,13,0,7,14.45954,12.322326,2.2795856,0.16134001,0.0,0.3391,,0.025,2.04,1.059,780736987136
