ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.72,77,27,23,25,2,9.118421,10.872166,1.7649305,0.18805,0.59554,0.17472,124.179,0.036,4.05,0.576,196519526400
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,51.38,72,22,23,25,2,12.655173,9.793102,2.0742834,0.17069,0.59071,0.124280006,174.78,0.02,5.59,0.281,216704614400
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,302.28,70,8,30,17,15,27.962996,22.539068,8.799232,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3656681259008
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,241.52,67,8,28,21,10,21.876812,19.224127,7.131847,0.35029998,0.68081003,0.28456,60.499,0.091,2.15,0.326,582038847488
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,108.03,65,11,18,21,15,29.040321,17.303404,3.5988407,0.12961,0.56664,0.14718,26.787,0.044,2.33,0.744,187721891840
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,613.71,65,8,30,17,10,26.126438,17.154602,7.147217,0.30238,0.81999,0.30084,39.164,0.238,0.33,1.279,1552413491200
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,395.55,65,8,30,17,10,24.737335,20.990755,7.5178175,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.108,2939877064704
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,150.65,65,8,26,21,10,22.285501,20.550617,6.697639,0.31562,0.51189,0.19299999,68.719,0.015,2.81,0.34,352028884992
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,490.03,63,25,6,17,15,15.787048,22.60015,0.0009826877,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1057158791168
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,207.67,58,8,25,15,10,28.963737,22.230072,5.421344,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2229321072640
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,282.09,58,15,13,25,5,21.305891,14.1351595,2.715694,0.12538,0.18526,0.02694,81.618,0.123,3.19,0.38,256046268416
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.34,53,8,26,17,2,25.440788,22.317188,10.342337,0.43323,0.61626,0.2734,139.793,0.024,2.65,0.332,332686426112
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,250.12,52,3,27,17,5,31.660759,26.906572,41.700565,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3676245065728
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,126.52,45,0,18,17,10,46.344322,38.483646,10.12403,0.21847,0.24927,0.0307,63.19,0.056,0.79,0.657,1008725131264
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,283.44,42,22,13,0,7,14.150773,12.06522,2.232022,0.16134001,0.0,0.3391,,0.025,2.12,1.059,764446900224
