ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.53,77,27,23,25,2,9.055922,10.817035,1.7528334,0.18805,0.59554,0.17472,124.179,0.036,3.88,0.576,195172548608
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.45,72,22,23,25,2,12.426108,9.62283,2.036738,0.17069,0.59071,0.124280006,174.78,0.02,5.54,0.281,212782170112
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,306.36,70,8,30,17,15,28.340424,22.823172,8.917997,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3706036944896
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,242.59,67,8,28,21,10,21.993654,19.309294,7.1634426,0.35029998,0.68081003,0.28456,60.499,0.091,2.16,0.326,584617361408
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,155.22,65,8,26,21,10,23.029675,21.174025,6.9008136,0.31562,0.51189,0.19299999,68.719,0.015,2.75,0.34,363290132480
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,647.39,65,8,30,17,10,27.583725,18.0432,7.539451,0.30238,0.81999,0.30084,39.164,0.238,0.33,1.279,1637608980480
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,409.41,65,8,30,17,10,25.604128,21.726269,7.781241,0.34390998,0.68586,0.39044,31.539,0.167,0.89,1.108,3042889957376
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,497.2,63,25,6,17,15,16.018042,22.93083,0.0009970661,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1072626860032
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,112.65,60,6,18,21,15,30.201073,18.042303,3.7527485,0.12961,0.56664,0.14718,26.787,0.044,2.3,0.744,195749986304
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,213.49,58,8,25,15,10,29.817041,22.860931,5.5732784,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2291798376448
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,285.17,58,15,13,25,5,21.53852,14.24006,2.7453454,0.12538,0.18526,0.02694,81.618,0.123,3.09,0.38,258841935872
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.8,53,8,26,17,2,25.592106,22.449928,10.4038515,0.43323,0.61626,0.2734,139.793,0.024,2.67,0.332,334665187328
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,259.88,52,3,27,17,5,32.896202,27.967241,43.327774,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3819697078272
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,124.34,45,0,18,17,10,45.379562,37.778267,9.949588,0.21847,0.24927,0.0307,63.19,0.056,0.8,0.657,991344263168
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,289.92,42,22,13,0,7,14.474289,12.341056,2.2830505,0.16134001,0.0,0.3391,,0.025,2.07,1.059,781923713024
