ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,29.1,77,27,23,25,2,9.572369,11.434589,1.8527951,0.18805,0.59554,0.17472,124.179,0.036,3.84,0.576,203716788224
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.31,72,22,23,25,2,12.391626,9.55846,2.031086,0.17069,0.59071,0.124280006,174.78,0.02,5.58,0.281,212191707136
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,274.34,70,8,30,17,15,25.354898,20.430185,7.985911,0.35705003,0.59652,0.32810003,16.133,0.18,0.3,1.112,3318691135488
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,525.72,69,8,30,21,10,22.380587,14.652173,6.122492,0.30238,0.81999,0.30084,39.164,0.238,0.38,1.279,1329837768704
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,240.45,67,8,28,21,10,21.799637,19.118612,7.1002507,0.35029998,0.68081003,0.28456,60.499,0.091,2.17,0.326,579460202496
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,259.02,65,22,13,25,5,19.563444,12.992086,2.493598,0.12538,0.18526,0.02694,81.618,0.123,3.3,0.38,235106189312
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,356.77,65,8,30,17,10,22.312069,18.926298,6.7807655,0.34390998,0.68586,0.39044,31.539,0.167,0.99,1.108,2651649474560
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,103.99,65,11,18,21,15,27.9543,16.98259,3.4642549,0.12961,0.56664,0.14718,26.787,0.044,2.41,0.744,180701642752
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,142.71,65,8,26,21,10,21.142223,19.467499,6.3446407,0.31562,0.51189,0.19299999,68.719,0.015,2.97,0.34,334010679296
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,468.49,63,25,6,17,15,15.093105,21.515583,0.0009394922,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1010472452096
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,199.34,58,8,25,15,10,27.840782,21.218708,5.2038846,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2139899035648
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,75.71,53,8,26,17,2,24.904606,21.871515,10.124365,0.43323,0.61626,0.2734,139.793,0.024,2.76,0.332,325867438080
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,248.8,52,3,27,17,5,31.533588,26.709553,41.48049,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3656844050432
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,122.89,45,0,18,17,10,45.180145,37.418434,9.830413,0.21847,0.24927,0.0307,64.443,0.056,0.81,0.657,979728531456
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,282.84,42,22,13,0,7,14.1349325,12.061099,2.227297,0.16134001,0.0,0.3391,,0.025,2.06,1.059,762828619776
