ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.39,77,27,23,25,2,9.009869,10.742735,1.7439195,0.18805,0.59554,0.17472,124.179,0.036,4.09,0.576,194180022272
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.63,72,22,23,25,2,12.470444,9.650151,2.044005,0.17069,0.59071,0.124280006,174.78,0.02,5.58,0.281,213541355520
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,303.55,70,8,30,17,15,28.10648,22.633762,8.8362,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3672044208128
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,242.04,67,8,28,21,10,21.94379,19.265514,7.1472015,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.326,583291961344
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,108.14,65,11,18,21,15,29.069893,17.321024,3.6025052,0.12961,0.56664,0.14718,26.787,0.044,2.29,0.744,187913027584
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,638.18,65,8,30,17,10,27.145044,17.78651,7.432192,0.30238,0.81999,0.30084,39.164,0.238,0.32,1.279,1614311718912
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,401.86,65,8,30,17,10,25.131956,21.32561,7.6377454,0.34390998,0.68586,0.39044,31.539,0.167,0.9,1.108,2986775150592
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,150.5,65,8,26,21,10,22.296297,20.530155,6.6909704,0.31562,0.51189,0.19299999,68.719,0.015,2.76,0.34,351678398464
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,491.89,63,25,6,17,15,15.841868,22.685934,0.0009864178,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1061171429376
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,209.53,58,8,25,15,10,29.223152,22.429176,5.4699,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2249287794688
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,277.05,58,15,13,25,5,20.925226,13.882611,2.6671736,0.12538,0.18526,0.02694,81.618,0.123,3.1,0.38,251471577088
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.61,53,8,26,17,2,25.529606,22.395102,10.378444,0.43323,0.61626,0.2734,139.793,0.024,2.65,0.332,333847887872
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,255.76,52,3,27,17,5,32.374683,27.513294,42.640877,1.5202099,0.47325,0.27037,102.63,0.157,0.4,1.116,3759141289984
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,125.33,45,0,18,17,10,45.908424,38.121685,10.028808,0.21847,0.24927,0.0307,63.19,0.056,0.8,0.657,999237484544
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,282.89,42,22,13,0,7,14.137432,12.041809,2.227691,0.16134001,0.0,0.3391,,0.025,2.09,1.059,762963558400
