ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.85,77,27,23,25,2,9.161184,10.928383,1.7732077,0.18805,0.59554,0.17472,124.179,0.036,4.0,0.576,197441175552
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.52,72,22,23,25,2,12.44335,9.603157,2.039564,0.17069,0.59071,0.124280006,174.78,0.02,5.55,0.281,213077409792
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,310.92,70,8,30,17,15,28.735676,23.165697,9.050738,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3761199644672
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,238.11,67,8,28,21,10,21.567934,18.941063,7.0311527,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.326,573821026304
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,110.71,65,11,18,21,15,29.760752,17.738434,3.6881204,0.12961,0.56664,0.14718,26.787,0.044,2.29,0.744,192378880000
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,622.66,65,8,30,17,10,26.530039,17.353956,7.251447,0.30238,0.81999,0.30084,39.164,0.238,0.33,1.279,1575052902400
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,399.41,65,8,30,17,10,24.963125,21.195595,7.5911813,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.108,2968566104064
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,151.48,65,8,26,21,10,22.44148,20.66384,6.7345395,0.31562,0.51189,0.19299999,68.719,0.015,2.78,0.34,353968357376
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,492.58,63,25,6,17,15,15.858982,22.621925,0.0009878014,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1062659948544
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,215.2,58,8,25,15,10,29.972145,23.036121,5.617919,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2310155010048
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,287.57,58,15,13,25,5,21.752647,14.441763,2.7684503,0.12538,0.18526,0.02694,81.618,0.123,3.1,0.38,261020352512
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,77.58,53,8,26,17,2,25.519737,22.383669,10.374432,0.43323,0.61626,0.2734,139.793,0.024,2.65,0.332,333718814720
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,254.23,52,3,27,17,5,32.221798,27.348705,42.38579,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3736653529088
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,125.08,45,0,18,17,10,45.81685,38.085262,10.005599,0.21847,0.24927,0.0307,64.443,0.056,0.79,0.657,997244272640
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,286.89,42,22,13,0,7,14.323016,12.212077,2.25919,0.16134001,0.0,0.3391,,0.025,2.1,1.059,773751701504
