ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.76,77,27,23,25,2,9.460526,11.285557,1.8311473,0.18805,0.59554,0.17472,124.179,0.036,3.92,0.576,203892572160
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.58,72,22,23,25,2,12.458129,9.613082,2.0419862,0.17069,0.59071,0.124280006,174.78,0.02,5.66,0.281,213330477056
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,302.06,70,8,30,17,15,27.942644,22.505564,8.792828,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.112,3654019973120
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,604.06,69,8,30,21,10,25.693747,16.835562,7.034833,0.30238,0.81999,0.30084,39.164,0.238,0.35,1.279,1528003297280
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,235.42,67,8,28,21,10,21.324276,18.718668,6.9517198,0.35029998,0.68081003,0.28456,60.499,0.091,2.21,0.326,567338401792
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,383.0,65,8,30,17,10,23.997494,20.317774,7.2792926,0.34390998,0.68586,0.39044,31.539,0.167,0.95,1.108,2846600724480
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,104.85,65,11,18,21,15,28.185484,16.800514,3.4929042,0.12961,0.56664,0.14718,26.787,0.044,2.39,0.744,182196060160
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,143.99,65,8,26,21,10,21.331852,19.642107,6.4015474,0.31562,0.51189,0.19299999,68.719,0.015,2.93,0.34,337006493696
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,479.98,63,25,6,17,15,15.473243,22.043266,0.0009625338,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1035254956032
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,210.14,58,8,25,15,10,29.308228,22.481312,5.4858246,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2255836151808
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,269.54,58,15,13,25,5,20.373396,13.536296,2.5948746,0.12538,0.18526,0.02694,81.618,0.123,3.21,0.38,244654948352
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,75.11,53,8,26,17,2,24.707237,21.671015,10.044129,0.43323,0.61626,0.2734,139.793,0.024,2.76,0.332,323284926464
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,251.49,52,3,27,17,5,31.793934,26.997606,41.928978,1.5202099,0.47325,0.27037,102.63,0.157,0.42,1.116,3696381394944
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,120.72,45,0,18,17,10,44.21978,36.757698,9.656827,0.21847,0.24927,0.0307,64.443,0.056,0.83,0.657,962428469248
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,289.91,42,22,13,0,7,14.473789,12.34063,2.2829716,0.16134001,0.0,0.3391,,0.025,2.09,1.059,781896712192
