ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.99,77,27,23,25,2,9.536184,11.392351,1.8457913,0.18805,0.59554,0.17472,124.179,0.036,3.86,0.576,202946723840
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,50.2,72,22,23,25,2,12.364532,9.553297,2.0266452,0.17069,0.59071,0.124280006,174.78,0.02,5.63,0.281,211727745024
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,287.56,70,8,30,17,15,26.625925,21.413168,8.370739,0.35705003,0.59652,0.32810003,16.133,0.18,0.31,1.112,3478613393408
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,572.13,69,8,30,21,10,24.356321,15.945652,6.662979,0.30238,0.81999,0.30084,39.164,0.238,0.39,1.279,1447234633728
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,244.44,67,8,28,21,10,22.161379,19.448328,7.2180715,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.326,589075709952
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,370.17,65,8,30,17,10,23.179087,19.637156,7.035446,0.34390998,0.68586,0.39044,31.539,0.167,1.01,1.108,2751243485184
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,102.67,65,11,18,21,15,27.599463,16.820118,3.4202812,0.12961,0.56664,0.14718,26.787,0.044,2.47,0.744,178407899136
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,144.44,65,8,26,21,10,21.430267,19.723995,6.4215536,0.31562,0.51189,0.19299999,68.719,0.015,2.92,0.34,337517772800
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,479.2,63,25,6,17,15,15.438145,22.007444,0.00096096966,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1033572581376
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,208.27,58,8,25,15,10,29.04742,22.175255,5.4370074,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2235761950720
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,270.59,58,15,13,25,5,20.46823,13.572422,2.6049829,0.12538,0.18526,0.02694,81.618,0.123,3.38,0.38,245608005632
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,76.05,53,8,26,17,2,25.016449,21.974941,10.169831,0.43323,0.61626,0.2734,139.793,0.024,2.7,0.332,327330856960
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,253.79,52,3,27,17,5,32.16603,27.244543,42.312435,1.5202099,0.47325,0.27037,102.63,0.157,0.42,1.116,3730186436608
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,124.28,45,0,18,17,10,45.523808,37.84167,9.941605,0.21847,0.24927,0.0307,64.443,0.056,0.8,0.657,990810210304
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,294.16,42,22,13,0,7,14.68597,12.61499,2.3164394,0.16134001,0.0,0.3391,,0.025,2.11,1.059,793359089664
