ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,28.33,77,27,23,25,2,9.319079,11.132987,1.8037692,0.18805,0.59554,0.17472,124.179,0.036,3.92,0.539,198326353920.0
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.4,72,22,23,25,2,12.167488,9.401053,1.994348,0.17069,0.59071,0.124280006,174.78,0.02,5.73,0.27,208353607680.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,295.77,70,8,30,17,15,27.38611,22.023607,8.609728,0.35705003,0.59652,0.32810003,16.133,0.18,0.28,1.128,3577929793536.0
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,574.46,69,8,30,21,10,24.445107,15.972401,6.6901145,0.30238,0.81999,0.30084,39.164,0.238,0.37,1.309,1453128548352.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,243.04,67,8,28,21,10,22.03445,19.327713,7.1767306,0.35029998,0.68081003,0.28456,60.499,0.091,2.14,0.329,585701851136.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,373.46,65,8,30,17,10,23.370462,19.81789,7.0979753,0.34390998,0.68586,0.39044,31.539,0.167,0.97,1.107,2775695753216.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,102.87,65,11,18,21,15,27.653227,16.852884,3.426944,0.12961,0.56664,0.14718,26.787,0.044,2.45,0.782,178755452928.0
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,143.12,65,8,26,21,10,21.171597,19.555733,6.3628683,0.31562,0.51189,0.19299999,68.719,0.015,2.95,0.403,334970257408.0
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,477.35,63,25,6,17,15,15.3835,21.922483,0.00095725973,0.09809,0.26146,0.18029,18.809,-0.007,,0.699,1029582356480.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,209.77,58,8,25,15,10,29.256624,22.332802,5.476166,0.22286,0.50286,0.108339995,43.435,0.136,,1.383,2251864408064.0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,277.26,58,15,13,25,5,20.956917,13.843702,2.6691954,0.12538,0.18526,0.02694,81.618,0.123,3.19,0.408,251662204928.0
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,76.72,53,8,26,17,2,25.236843,22.185274,10.259428,0.43323,0.61626,0.2734,139.793,0.024,2.69,0.361,330214637568.0
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,125.79,45,0,18,17,10,46.076923,38.295387,10.062395,0.21847,0.24927,0.0307,64.443,0.056,0.79,0.661,1002848518144.0
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,294.6,42,22,13,0,7,14.707938,12.63386,2.3199043,0.16134001,0.0,0.3391,,0.025,2.04,1.043,794545750016.0
AAPL,AAPL,N/A,N/A,📊 均衡型,,7,0,0,0,7,,,,,,,,,,,
