ticker,name,sector,industry,stock_types_str,price,total_score,score_valuation,score_profitability,score_cashflow,score_safety,pe,forward_pe,pb,roe,gross_margin,profit_margin,debt_equity,revenue_growth,dividend_yield,beta,market_cap
T,AT&T Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,27.41,77,27,23,25,2,9.016447,10.755726,1.7451929,0.18805,0.59554,0.17472,124.179,0.036,3.99,0.576,194321809408
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,💰 价值股 | 🏰 护城河股 | 🏦 股息股,49.59,72,22,23,25,2,12.214286,9.425409,2.0020185,0.17069,0.59071,0.124280006,174.78,0.02,5.6,0.281,209154965504
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,307.69,70,8,30,17,15,28.437155,22.925037,8.956714,0.35705003,0.59652,0.32810003,16.133,0.18,0.27,1.112,3722126032896
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,🚀 成长股 | 🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,237.28,67,8,28,21,10,21.53176,18.875038,7.006644,0.35029998,0.68081003,0.28456,60.499,0.091,2.18,0.326,571820802048
ABT,Abbott Laboratories,Healthcare,Medical Devices,🏦 股息股 | 🛡️ 防御股,108.49,65,11,18,21,15,29.163979,17.383766,3.6141648,0.12961,0.56664,0.14718,26.787,0.044,2.28,0.744,188521218048
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,615.68,65,8,30,17,10,26.232637,17.15942,7.170159,0.30238,0.81999,0.30084,39.164,0.238,0.34,1.279,1557396717568
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,391.79,65,8,30,17,10,24.517523,20.791224,7.4463553,0.34390998,0.68586,0.39044,31.539,0.167,0.91,1.108,2911931465728
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,146.71,65,8,26,21,10,21.702663,20.013151,6.522474,0.31562,0.51189,0.19299999,68.719,0.015,2.79,0.34,343372627968
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,💰 价值股,484.47,63,25,6,17,15,15.612955,22.249472,0.0009715379,0.09809,0.26146,0.18029,18.809,-0.007,,0.688,1045163999232
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,🏰 护城河股 | 🔄 周期股,209.87,58,8,25,15,10,29.27057,22.46557,5.478776,0.22286,0.50286,0.108339995,43.435,0.136,,1.42,2252937625600
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,🏦 股息股 | 🛡️ 防御股,284.33,58,15,13,25,5,21.491308,14.279049,2.7372584,0.12538,0.18526,0.02694,81.618,0.123,3.07,0.38,258079457280
KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,🏰 护城河股 | 🏦 股息股 | 🛡️ 防御股,75.97,53,8,26,17,2,24.990131,21.919146,10.159133,0.43323,0.61626,0.2734,139.793,0.024,2.66,0.332,326793232384
AAPL,Apple Inc.,Technology,Consumer Electronics,🚀 成长股 | 🏰 护城河股 | 🏦 股息股,249.94,52,3,27,17,5,31.597979,26.81446,41.670555,1.5202099,0.47325,0.27037,102.63,0.157,0.41,1.116,3673599508480
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,🏦 股息股 | 🛡️ 防御股,121.98,45,0,18,17,10,44.68132,37.141354,9.757619,0.21847,0.24927,0.0307,64.443,0.056,0.79,0.657,972528418816
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,💰 价值股,287.74,42,22,13,0,7,14.372626,12.248259,2.2658834,0.16134001,0.0,0.3391,,0.025,2.09,1.059,776044085248
